aifa_model_id,aifa_display_name,category,capability,portfolio_status,official_model_name,official_model_id,primary_provider,backup_provider,pricing_record_id,pricing_status,commercial_status,region_status,effective_from,effective_to,verified_at,notes
gpt-5.6-sol,GPT-5.6 Sol,chat,chat,UNVERIFIED,,,OpenAI,,,,,,,,,ADR-0018
gpt-5.6-terra,GPT-5.6 Terra,chat,chat,UNVERIFIED,,,OpenAI,,,,,,,,,ADR-0018
gpt-5.6-luna,GPT-5.6 Luna,chat,chat,UNVERIFIED,,,OpenAI,,,,,,,,,ADR-0018
gpt-5.5,GPT-5.5,chat,chat,WATCHLIST,,,OpenAI,,,,,,,,,ADR-0018 - optional/under consideration
claude-fable-5,Claude Fable 5,chat,chat,UNVERIFIED,,,Anthropic,,,,,,,,,ADR-0018
claude-opus-4.8,Claude Opus 4.8,chat,chat,UNVERIFIED,,,Anthropic,,,,,,,,,ADR-0018
claude-sonnet-5,Claude Sonnet 5,chat,chat,UNVERIFIED,,,Anthropic,,,,,,,,,ADR-0018
gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,chat,chat,UNVERIFIED,,,Google,,,,,,,,,ADR-0018
gemini-3.1-flash-lite,Gemini 3.1 Flash-Lite,chat,chat,UNVERIFIED,,,Google,,,,,,,,,ADR-0018
grok-4.5,Grok 4.5,chat,chat,UNVERIFIED,,,xAI,,,,,,,,,ADR-0018
deepseek-v4-pro,DeepSeek V4 Pro,chat,chat,UNVERIFIED,,,DeepSeek,,,,,,,,,ADR-0018
deepseek-v4-flash,DeepSeek V4 Flash,chat,chat,UNVERIFIED,,,DeepSeek,,,,,,,,,ADR-0018
qwen-3.6-max-preview,Qwen3.6 Max Preview,chat,chat,UNVERIFIED,,,Alibaba,,,,,,,,,ADR-0018
glm-5.2,GLM-5.2,chat,chat,UNVERIFIED,,,Zhipu,,,,,,,,,ADR-0018
kimi-k3,Kimi K3,chat,chat,VERIFIED_ACTIVE,Kimi K3,kimi-k3,OpenRouter,,,,,,,,2026-07-20,"Model owner: Moonshot AI (OpenRouter is initial serving gateway + billing counterparty only, not the owner). Pinned OpenRouter slug: moonshotai/kimi-k3 -- never ~moonshotai/kimi-latest. Direct future route: Moonshot AI Kimi API, model ID kimi-k3, https://api.moonshot.ai/v1 (not implemented). VERIFIED_ACTIVE reflects identity/availability confirmed 2026-07-20 against official Moonshot docs; NOT yet in the public Active Catalog -- P-002 activation gates pending. Schema gap: no dedicated model_owner/gateway/billing_counterparty columns exist yet -- see pricing-audit-gaps.csv. See AIFA_Brain/12_Decisions/PRODUCT_DECISION_LOG.md P-002, ADR-0018."
chat-package,Chat Package,chat,packaging,AIFA_ALIAS,,,,,,,,,,,,ADR-0018 - commercial bundle not a model
all-access-package,All Access Package,chat,packaging,AIFA_ALIAS,,,,,,,,,,,,ADR-0018 - commercial bundle spanning all capabilities
gpt-image-2,GPT Image 2,image,image,UNVERIFIED,,,OpenAI,,,,,,,,,ADR-0019 - Premium tier
nano-banana-pro,Nano Banana Pro,image,image,UNVERIFIED,,,Google,,,,,,,,,ADR-0019 - Premium tier
flux-2-max,FLUX.2 Max,image,image,UNVERIFIED,,,Black Forest Labs,,,,,,,,,ADR-0019 - Premium tier
nano-banana-2,Nano Banana 2,image,image,UNVERIFIED,,,Google,,,,,,,,,ADR-0019 - Professional tier
flux-2-pro,FLUX.2 Pro,image,image,UNVERIFIED,,,Black Forest Labs,fal,,,,,,,,ADR-0019 - Professional tier; dual provider path
ideogram-4,Ideogram 4,image,image,UNVERIFIED,,,Ideogram,,,,,,,,,ADR-0019 - Professional tier
recraft-v4,Recraft V4,image,image,UNVERIFIED,,,Recraft,,,,,,,,,ADR-0019 - Professional tier
runway-image,Runway Image,image,image,UNVERIFIED,,,Runway,,,,,,,,,ADR-0019 - Professional tier
seedream-5-lite,Seedream 5 Lite,image,image,INTEGRATION_GATED,,,,,,,,,,,,ADR-0019 - Economy tier; gated on official/approved API existing
